"Date","Vendor Name","Bill Number/Invoice Number","Bill Amount","Cash Paid","Online Paid ","Owner Paid","Due","Date of Purchase","Date of Bill Clear","Note/Remarks","Invoice Picture"
"07/03/2026","SANJAY SALES AGENCIES ","25-26/SSA-10433","6801","6801","","","","07/03/2026","07/03/2026","",""
"07/03/2026","MAA KAMAKHYA ENTERPRISE","MKE/10544","4072","","","4072","","07/03/2026","07/03/2026","",""
"07/03/2026","COOCH BEHAR BAZAAR  (MURI,OIL,DIM)","121","5780","1780","","4000","","07/03/2026","07/03/2026","",""
"09/03/2026","GOURI SHANKAR AGENCY ","FSL418606","2188","2188","","","","09/03/2026","14/03/2026","",""
"09/03/2026","  COCH BHAR BAZAAR (TEZZ PATA, CHALER GURA)","","950","950","","","","09/03/2026","09/03/2026","",""
"09/03/2026","PAUL & SONS","15710","2230","2230","","","","09/03/2026","09/03/2026","",""
"09/03/2026","SANJAY SALES AGENCIES ","25-26/SSA-10494","721","721","","","","09/03/2026","09/03/2026","",""
"10/03/2026","AALEKHAYA ASSOCIATES ","A256004010","2949","2949","","","","10/03/2026","16/03/2026","",""
"10/03/2026","ANIL TRADERS ","AT/2480/25-26","1384","1384","","","","10/03/2026","10/03/2026","",""
"10/03/2026","GOURI SANKAR ASSOCIATES","I/25-26/078751","1424","1424","","","","10/03/2026","16/03/2026","",""
"10/03/2026","JOYGURU ENTERPRISE","10/3","291","291","","","","10/03/2026","10/03/2026","",""
"10/03/2026","SOYETA TRADING CO","GTE83880","4633","","","4633","","10/03/2026","10/03/2026","",""
"12/03/2026","NEW ICE BAR","GST/25-26/14964","2619","2619","","","","12/03/2026","12/03/2026","",""
"12/03/2026","SANJAY SALES AGENCIES ","25-26/SSA-10611","660","660","","","","12/03/2026","12/03/2026","",""
"13/03/2026","BARNWAL AGENCY","A006474","7608","7608","","","","13/03/2026","13/03/2026","",""
"13/03/2026","COOCH BEHAR BAZAAR  (CLING FILM,ALUMINIUM FOIL )","21","1332","","","1332","","13/03/2026","13/03/2026","",""
"13/03/2026","NYKAA E - RETAIL LIMITED ( SUPER STORE )","NYK-339039540-4175723-1","2275","","","2275","","13/03/2026","13/03/2026","",""
"14/03/2026","GOURI SHANKAR AGENCY  ","FSL419381","1156","1156","","","","14/03/2026","28/03/2026","",""
"14/03/2026","COOCH BEHAR BAZAAR  (DIM, SUGAR)","111","3180","3180","","","","14/03/2026","14/03/2026","",""
"16/03/2026","AALEKHYA ASSOCIATES ","A256004372","969","969","","","","16/03/2026","23/03/2026","",""
"16/03/2026","JOYGURU ENTERPRISE","4816/3","267","267","","","","16/03/2026","16/03/2026","",""
"16/03/2026","N BISWAS&CHOWDHURY","2778","2562","2562","","","","16/03/2026","17/03/2026","",""
"16/03/2026","SOYETA TRADING CO","GTE88742","1330","1330","","","","16/03/2026","17/03/2026","",""
"18/03/2026","APRNA ENTERPRISE","R007999","746","746","","","","18/03/2026","18/03/2026","",""
"18/03/2026","GOURI SANKAR ASSOCIATES","I/25-26/080512","2475.35","2475","","","","18/03/2026","23/03/2026","",""
"18/03/2026","M/S BASAK ENTERPRISE ","A003063","4131","4131","","","","18/03/2026","18/03/2026","",""
"18/03/2026","COOCH BEHAR BAZAAR (LOTTE CHOCO)","","360","360","","","","18/03/2026","18/03/2026","",""
"18/03/2026","PRAN","","1066","1066","","","","18/03/2026","18/03/2026","",""
"20/03/2026","SAHA AGENCY ","28339","1542","1542","","","","20/03/2026","20/03/2026","",""
"20/03/2026","SOYETA TRADING CO","GTE931880","694","694","","","","20/03/2026","20/03/2026","",""
"23/03/2026","MAA KAMAKHYA ENTERPRISE","MKE/10877","875","875","","","","23/03/2026","23/03/2026","",""
"23/03/2026","COOCH BEHAR BAZAAR  ( MURI)","","620","620","","","","23/03/2026","23/03/2026","",""
"23/03/2026","SANJAY SALES AGENCIES ","25-26/SSA-10922","8010","8010","","","","23/03/2026","23/03/2026","",""
"23/03/2026","AALEKHYA ASSOCIATES ","A256004700","1369","1369","","","","23/03/2026","30/03/2026","",""
"24/03/2026","GOURI SANKAR ASSOCIATES","I/25-26/082244","326","326","","","","24/03/2026","24/03/2026","",""
"24/03/2026","SOYETA TRADING CO","GTE94442","1300","1300","","","","24/03/2026","24/03/2026","",""
"25/03/2026","COOCH BEHAR BAZAAR  (WIPER,,POCHA)","1336","1890","1890","","","","25/03/2026","25/03/2026","",""
"25/03/2026","COOCH BEHAR BAZAAR  (SHAVES BLADE)","","240","240","","","","25/03/2026","25/03/2026","",""
"26/03/2026","JOYGURU ENTERPRISE","4726 /3","909","909","","","","26/03/2026","26/03/2026","",""
"26/03/2026","COOCH BEHAR BAZAAR  (GHEE,PICKLE,KASONDI)","32","1735","1735","","","","26/03/2026","26/03/2026","",""
